N	Avg CPU Time (s)	Std Dev (s)
49	0.0008			0.0001
61	0.0013			0.0000
76	0.0028			0.0001
95	0.0045			0.0001
117	0.0070			0.0002
145	0.0120			0.0002
180	0.0158			0.0005
223	0.0242			0.0005
276	0.0400			0.0015
343	0.0615			0.0022
424	0.0964			0.0045
526	0.2021			0.0074
651	0.3122			0.0121
807	0.4592			0.0077
1000	0.7272			0.0193
